"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Job[12] Result","Job[12] Runtime (ms)","Job[13] Result","Job[13] Runtime (ms)","Job[14] Result","Job[14] Runtime (ms)","Average Result","Average Runtime (ms)","Total Runtime (ms)"
"83","3.141521","185","3.141358","185","3.14187275","185","3.14167225","218","3.14160025","199","3.1424455","198","3.14148375","215","3.141441","215","3.14157425","232","3.14135","251","3.14151625","264","3.14133025","266","3.14088925","264","3.1415445","261","3.141542785714286","224","266"
"84","3.14192925","266","3.142067","249","3.141807","265","3.14176625","265","3.141767","265","3.14201","265","3.14175875","265","3.142344","270","3.14140825","239","3.14105775","265","3.14125625","252","3.142374","265","3.14170975","268","3.1417305","252","3.1417846964285707","260","270"
"85","3.142152","124","3.141447","225","3.14187775","208","3.14106075","218","3.1412495","228","3.14170825","258","3.14228225","256","3.1412805","254","3.14123875","254","3.141745","224","3.1414075","259","3.14157","261","3.14140925","263","3.14119425","257","3.1415444821428578","234","264"
"86","3.142067","217","3.14186575","252","3.141734","260","3.14159175","260","3.14147375","258","3.14161275","244","3.1414195","227","3.14183","258","3.14128125","253","3.14159125","261","3.141288","257","3.1415085","254","3.14137525","244","3.141078","247","3.141551196428572","249","261"
"87","3.141602","258","3.14110725","263","3.1415915","256","3.14164625","263","3.141333","263","3.142171","259","3.14150125","258","3.14176075","266","3.141464","233","3.1416565","259","3.1419","263","3.1412445","265","3.14183125","266","3.1411105","262","3.1415656964285716","259","266"
"88","3.1422795","276","3.14115275","270","3.14196975","275","3.14121775","256","3.14137575","269","3.14172175","259","3.141091","256","3.142146","269","3.1411825","275","3.1411695","259","3.1420115","259","3.14183375","272","3.1412865","266","3.142113","266","3.1416107857142856","266","276"
"89","3.14165275","196","3.1418865","257","3.14147125","263","3.142326","257","3.14091525","260","3.1415475","273","3.1415785","256","3.1409085","274","3.14130425","250","3.14226625","260","3.142217","268","3.14145425","263","3.14160875","272","3.1414225","271","3.1416113750000005","258","275"
"90","3.14105","255","3.14167325","260","3.14211575","225","3.14212025","256","3.14168075","256","3.140871","263","3.14209225","266","3.14174125","255","3.14158075","255","3.14193625","241","3.141452","256","3.14174","258","3.14183025","259","3.14228675","255","3.1417264642857137","254","266"
"91","3.1420505","270","3.1423635","270","3.1415195","270","3.14082625","270","3.14150575","245","3.14208525","229","3.1419545","270","3.14169225","234","3.14177425","270","3.1425425","270","3.1420045","270","3.1420805","270","3.141714","270","3.14134325","221","3.141818321428571","259","270"
"92","3.14198125","248","3.14232425","251","3.14094925","248","3.14205625","267","3.1410525","259","3.14148075","259","3.14094975","262","3.1418985","264","3.14147825","271","3.14118675","261","3.14146","248","3.141488","266","3.1423215","267","3.141792","259","3.1416013571428576","259","271"
