"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Job[12] Result","Job[12] Runtime (ms)","Job[13] Result","Job[13] Runtime (ms)","Job[14] Result","Job[14] Runtime (ms)","Total Runtime (ms)"
"73","3.1412525","281","3.14153325","281","3.14137325","281","3.142311","281","3.14171725","281","3.1417","281","3.1417175","281","3.141356","281","3.14185525","281","3.1413865","281","3.1416815","281","3.141567","281","3.141635","281","3.14126625","281","282"
"74","3.14081175","281","3.14188225","281","3.141161","281","3.14167175","281","3.14161975","281","3.14150775","281","3.14143675","281","3.14155275","281","3.14233625","281","3.1410275","281","3.1413215","281","3.141567","281","3.14168325","281","3.14145","281","281"
"75","3.14143375","282","3.14181575","282","3.14205825","282","3.14173675","282","3.1420605","282","3.14154","282","3.14137725","282","3.1414755","282","3.1418335","282","3.14141325","282","3.14173025","282","3.14159325","282","3.14161425","282","3.14138675","282","282"
"76","3.141761","276","3.14099575","276","3.14141175","276","3.14154175","276","3.14197775","276","3.14163925","276","3.1419005","276","3.14149275","276","3.14156225","276","3.141236","276","3.141495","276","3.141575","276","3.1417255","276","3.14173275","276","280"
"77","3.141678","282","3.1416665","282","3.14150075","282","3.142067","282","3.14206","282","3.14165225","282","3.1413015","282","3.1415075","282","3.141669","282","3.14192075","282","3.1420945","282","3.1418525","282","3.14059325","282","3.14155125","282","282"
"78","3.14166775","282","3.14258675","282","3.14170925","282","3.14192825","282","3.142082","282","3.142128","282","3.141197","282","3.14200875","282","3.14071025","282","3.14168075","282","3.14188575","282","3.1409745","282","3.1422635","282","3.141795","282","282"
"79","3.1416425","278","3.14111425","278","3.142066","278","3.1423115","278","3.14129575","278","3.14126825","278","3.141778","278","3.14240975","278","3.141362","278","3.14206","278","3.1417545","278","3.1418375","278","3.14182225","278","3.14084125","278","278"
"80","3.14228175","273","3.141234","273","3.14104775","273","3.14086","273","3.14096925","273","3.14176075","273","3.1417025","273","3.14247875","273","3.14098375","273","3.14241675","273","3.14198125","273","3.14153875","273","3.1424295","273","3.14147825","273","273"
"81","3.141687","276","3.14144525","276","3.1425525","276","3.1419565","276","3.14252625","276","3.141715","276","3.1419125","276","3.141547","276","3.14169925","276","3.141543","276","3.14212075","276","3.14211375","276","3.14072675","276","3.14119175","276","277"
"82","3.141313","282","3.14106625","282","3.14147425","282","3.14158175","282","3.142198","282","3.1416655","282","3.1418085","282","3.1412295","282","3.1421975","282","3.14122775","282","3.14217725","282","3.14213575","282","3.14130325","282","3.14165","282","282"
"83","3.1411585","279","3.14137825","279","3.1423725","279","3.141692","279","3.14108425","279","3.14191425","279","3.142232","279","3.141137","279","3.1413465","279","3.14147325","279","3.142516","279","3.140689","279","3.14156875","279","3.1414855","279","279"
